Address,lat,lon
"EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP CENTER, 817 LIVONIA AVENUE, Brooklyn, 11207, NY",40.6660724,-73.8860973
"EBENEZER SEVENTH DAY ADVENTIST CHURCH , 1234 EAST NEW YORK AVENUE , Brooklyn, 11212, NY",40.6674866,-73.9213303
"ELIM RESTORATION CHURCH OF GOD , 188 EAST 53RD STREET , Brooklyn, 11203, NY",40.6553437,-73.9280691
"EMMAUS SDA CHURCH , 1144 FLATBUSH AVENUE , Brooklyn, 11226, NY",40.6423949,-73.95791439999999
"EVANGELICAL CRUSADE FOOD PANTRY , 557 EAST 31ST STREET , Brooklyn, 11210, NY",40.63731120000001,-73.9468462
"F.A.R.M. HARVEST INITIATIVE , 1432 PITKIN AVENUE , Brooklyn, 11233, NY",40.6682942,-73.9207261
"FAITH CENTER FOR HUMAN SERVICES, INC , 1014-18 GATES AVENUE , Brooklyn, 11221, NY",40.6891976,-73.9228014
"FAMILY LIFE DEVELOPMENT CENTER , 1476 BEDFORD AVE , Brooklyn, 11216, NY",40.6728745,-73.9544808
"FAMILY SERVICE NETWORK OF N.Y. INC , 1420 BUSHWICK AVENUE , Brooklyn, 11207, NY",40.6840333,-73.9089482
"FERNANDE VALME' MINISTRIES INC , 1120 FLATBUSH AVE , Brooklyn, 11226, NY",40.643087,-73.9579119
"FLATBUSH SDA CHURCH , 261 EAST 21ST STREET , Brooklyn, 11226, NY",40.648056,-73.9593776
"FOOD FIRST, INC , 165 CONOVER STREET , Brooklyn, 11231, NY",40.67827219999999,-74.0137044
"FOUNDATION FOR VETERANS HELPING VETERANS AND THEIR COMM. , NY STATE 570A MACON STREET , Brooklyn, 11233, NY",40.6834253,-73.927773
"GETHSEMANE SDA CHURCH , 357 EMPIRE BLVD , Brooklyn, 11225, NY",40.66414229999999,-73.94984269999999
"GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY , 2134 DEAN STREET , Brooklyn, 11233, NY",40.6749415,-73.91703509999999
"GOD'S BATTALION OF PRAYER CHURCH , 661 LINDEN BOULEVARD , Brooklyn, 11203, NY",40.6537438,-73.93402360000002
"GOD'S DELIVERANCE TEMPLE, INC , 438 RALPH AVENUE , Brooklyn, 11233, NY",40.674177,-73.922433
"GOOD NEWS DELIVERANCE TABERNACLE , 442 CLEVELAND STREET , Brooklyn, 11208, NY",40.673881,-73.884494
"GRANT HOUSE UNITY CORPORATION , 2046 FLATBUSH AVENUE , Brooklyn, 11234, NY",40.6198562,-73.9341225
"GREENPOINT REFORMED CHURCH FOOD PANTRY , 136 MILTON STREET , Brooklyn, 11222, NY",40.7291626,-73.9550017
" HANNAH KOSHER FOODS , 2102 AVENUE T , Brooklyn, 11229, NY",40.601581,-73.9505625
"HANSON PLACE SEVENTH DAY ADVENTIST CHURCH , 88 HANSON PLACE , Brooklyn, 11217, NY",40.6854321,-73.9740023
"HEALTH ESSENTIAL ASSOCIATION CPMM , 2336 86TH STREET , Brooklyn, 11214, NY",40.5998769,-73.9907463
"HEALTH ESSENTIAL ASSOCIATION INC , 2101 EAST 16TH STREET - 2ND FLOOR , Brooklyn, 11229, NY",40.5986603,-73.9552617
" HEBREW EDUCATIONAL SOCIETY , 9502 SEAVIEW AVENUE , Brooklyn, 11236, NY",40.6323696,-73.8907876
"HEBRON SDA CHURCH , 1256 DEAN STREET , Brooklyn, 11216, NY",40.67659219999999,-73.94722759999999
"HOLDING HANDS MINISTRIES , 6324 7TH AVENUE , Brooklyn, 11220, NY",40.634988,-74.01441
"HOLY CROSS FOOD PANTRY - BROOKLYN , 2530 CHURCH AVENUE , Brooklyn, 11226, NY",40.65038149999999,-73.95350150000002
"HOPE CENTER DEVELOPMENT CORPORATION , 414 EAST 95TH STREET , Brooklyn, 11212, NY",40.657017,-73.918645
"HOPE CENTER DEVELOPMENT CORPORATION , 409 EAST 95TH STREET , Brooklyn, 11212, NY",40.657291,-73.91828799999999
"HOREB SDA COMMUNITY SERVICES , 520 KINGSTON AVE , Brooklyn, 11225, NY",40.6610227,-73.9431012
"HOUSE OF DAVID WORSHIP CENTER , 747-749-HENDRIX STREET , Brooklyn, 11207, NY",40.66316,-73.88634069999999
" ICNA RELIEF USA FOOD PANTRY , 273 NEPTUNE AVENUE , Brooklyn, 11235, NY",40.58134159999999,-73.96344839999999
"IMMANUEL FIRST SPANISH UNITED METHODIST CHURCH , 424 DEAN STREET , Brooklyn, 11217, NY",40.6821256,-73.9771774
"INTERNATIONAL PENTECOSTAL CITY MISSION , 9202-14 CHURCH AVE , Brooklyn, 11236, NY",40.653817,-73.9181375
"ISAIAH'S TEMPLE OF MT. HOPE , 862 GLENMORE AVE , Brooklyn, 11208, NY",40.67562909999999,-73.8781784
" JEWISH COMMUNITY COUNCIL OF CANARSIE #1, 1170 PENNSYLVANIA AVE , Brooklyn, 11239, NY",40.6514539,-73.88580809999999
"KINGLAWN UNITED PRESBYTERIAN CHURCH , 2368 RALPH AVENUE , Brooklyn, 11234, NY",40.6202761,-73.91757009999999
" KINGS BAY Y FOOD PANTRY , 3495 NOSTRAND AVENUE , Brooklyn, 11229, NY",40.5988563,-73.941239
"LADIES IN WAITING , 276 FENIMORE STREET , Brooklyn, 11225, NY",40.6582579,-73.9535703
"LAS MARAVILLAS DEL EXODO , 302 ELTON STREET , Brooklyn, 11208, NY",40.6758149,-73.8841814
"LIFEBRIDGE NY , 1895 FLATBUSH AVENUE , Brooklyn, 11210, NY",40.6236936,-73.93754349999999
"LITTLE JERUSALEM HOUSE OF PRAYER , 447 HERZL STREET , Brooklyn, 11212, NY",40.6589245,-73.91267309999999
"MAKE THE ROAD NEW YORK , 301 GROVE STREET , Brooklyn, 11237, NY",40.698427,-73.915796
"MAMRE ENRICHMENT PROGRAM , 1623 UTICA AVENUE , Brooklyn, 11234, NY",40.6326139,-73.9281562
" MASBIA OF FLATBUSH , 1372 CONEY ISLAND AVE , Brooklyn, 11230, NY",40.624083,-73.9652452
" METRO MINISTRIES INTERNATIONAL , 871 BUSHWICH AVENUE , Brooklyn, 11221, NY",40.69395670000001,-73.9257291
" METROPOLITAN COUNCIL ON JEWISH POVERTY , 5361 PRESTON COURT , Brooklyn, 11234, NY",40.63872509999999,-73.9237121
"MOUNT CARMEL WORSHIP AND OUTREACH CENTER , 784 EAST 46TH STREET , Brooklyn, 11203, NY",40.6421291,-73.9333956
"MOVEMENT OF PENTECOSTAL CHRISTIAN CHURCH , 90-92 SUMMIT STREET , Brooklyn, 11231, NY",40.6820189,-74.00361000000001
"MT. HEBRON CHURCH OF CHRIST , 167 CHESTER STREET , Brooklyn, 11212, NY",40.6677104,-73.91093769999999
"MUNA SOCIAL SERVICE INC , 1033 GLENMORE AVENUE , Brooklyn, 11208, NY",40.6768736,-73.87180289999999
" NAT'L COMM. FOR FUTH. OF JEWISH ED., 824 EASTERN PARKWAY , Brooklyn, 11213, NY",40.6688654,-73.94105669999999
"NEIGHBORS TOGETHER , 2094 FULTON STREET , Brooklyn, 11233, NY",40.6782875,-73.91384120000001
"NEW LIFE SDA CHURCH , 885-87 THOMAS BOYLAND STREET , Brooklyn, 11212, NY",40.6587046,-73.9105198
"NEWMAN MEMORIAL UNITED METHODIST CHURCH COMMUNITY DEVELOPMENT , CORPORATION 257 MACON STREET , Brooklyn, 11216, NY",40.682274,-73.941095
"NORTHEAST BROOKLYN HOUSING DEVELOPMENT CORPORATION, 376 THROOP AVENUE , Brooklyn, 11221, NY",40.6914568,-73.9431546
" ONEG SHABBOS , 1601 41ST STREET , Brooklyn, 11218, NY",40.63555789999999,-73.98051149999999
"OPEN DOOR FAMILY LIFE CENTER INC , 999 GREEN AVENUE , Brooklyn, 11221, NY",40.6912763,-73.92715710000002
"OPEN DOOR TO HEAVEN OUTREACH MINISTRY INC , 474 SHEPHERD AVENUE , Brooklyn, 11208, NY",40.67269,-73.88061239999999
"OPIN , 1768 ST. JOHNS PLACE , Brooklyn, 11233, NY",40.6696502,-73.9184097
"OUR LADY OF ANGELS HUMAN SERVICES , 336 73RD STREET , Brooklyn, 11209, NY",40.6324025,-74.0261727
"OUR LADY OF GRACE PARISH MINISTRY , 2322 EAST 4TH STREET , Brooklyn, 11223, NY",40.59338229999999,-73.9673459
" OUR LADY OF GRACE PARISH MINISTRY , 2322 EAST 4TH STREET , Brooklyn, 11223, NY",40.59338229999999,-73.9673459
"OUR LADY OF MERCY CHURCH , 680 MOTHER GASTON BLVD. , Brooklyn, 11212, NY",40.6621452,-73.9050922
"OUR LADY OF MIRACLES-CANARSIE CLUSTER CENTER , 757 EAST 86TH STREET , Brooklyn, 11236, NY",40.6390089,-73.9093883
"OUR LADY OF REFUGE R.C. CHURCH , 2020 FOSTER AVE. , Brooklyn, 11210, NY",40.636462,-73.957618
"PAYO FOOD PANTRY , 1045 CONEY ISLAND AVENUE , Brooklyn, 11230, NY",40.6321869,-73.96636509999999
"PENIEL HAITIAN CHURCH OF C AND MA , 2741 ALBEMARLE ROAD , Brooklyn, 11226, NY",40.6483143,-73.95065439999999
"PENIEL SDA CHURCH , 1210 UTICA AVENUE , Brooklyn, 11203, NY",40.6430434,-73.9298726
"PRESBYTERIAN CHURCH OF THE CROSSROADS , 133 ELTON STREET , Brooklyn, 11208, NY",40.680541,-73.88459619999999
"REACHING-OUT COMMUNITY SERVICES INC , 7708 NEW UTRECHT AVE , Brooklyn, 11214, NY",40.613981,-74.0006563
"REDEEMED CHRISTIAN CHURCH OF GOD INTERNATIONAL CHAPEL , 781 EAST 93RD STREET , Brooklyn, 11236, NY",40.64914020000001,-73.9118362
"RHOW BROOKLYN INC , 360 SCHERMERHORN STREET , Brooklyn, 11217, NY",40.6864717,-73.9801039
"SALT & SEA MISSION CHURCH INC. , 2417-2419 STILLWELL AVE , Brooklyn, 11223, NY",40.5885445,-73.98339709999999
"SALVATION CHURCH OF GOD FOOD PANTRY MINISTRY , 5601 AVENUE N , Brooklyn, 11234, NY",40.6194526,-73.9208609
"SANCTIFIED CHURCH OF GOD, INC/COMMUNITY FEEDING PROGRAM , 404 LEFFERTS AVE , Brooklyn, 11225, NY",40.662303,-73.94810249999999
"SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRIST, INC, 1048 SUTTER AVE , Brooklyn, 11208, NY",40.6714583,-73.8800131
" SEPHARDIC BIKUR HOLIM FOOD PANTRY , 425 KINGS HIGHWAY , Brooklyn, 11223, NY",40.6046061,-73.9748673
" SHALOM SENIOR CENTER , 483 ALBANY AVE , Brooklyn, 11203, NY",40.6634051,-73.9396896
" SHOREFRONT JEWISH COMMUNITY COUNCIL , 128 BRIGHTON BEACH AVE - 4TH FLOOR , Brooklyn, 11235, NY",40.576149,-73.967182
" SHOREFRONT JEWISH COMMUNITY COUNCIL , 3014 BRIGHTON 6TH STREET , Brooklyn, 11235, NY",40.57914299999999,-73.96234299999999
"SILOAM PRESBYTERIAN CHURCH FOOD PANTRY , 260 JEFFERSON AVENUE , Brooklyn, 11216, NY",40.68340389999999,-73.9471217
"SISTERS WITH PURPOSE INC , 1540 VAN SICLEN AVE , Brooklyn, 11239, NY",40.6479055,-73.8780499
"SOLID ROCK BAPTIST CHURCH , 120 TOMPKINS AVE , Brooklyn, 11206, NY",40.6951314,-73.9464297
"SOUTH BKLYN SDA CHURCH COMMUNITY SERVICE PROGRAM , 42 PROSPECT PLACE , Brooklyn, 11217, NY",40.6796117,-73.9766489
"SOUTHSIDE UNITED H.D.F.C., INC - LOS SURES , 145 SOUTH 3RD STREET , Brooklyn, 11211, NY",40.7124161,-73.9616521
"ST. AUGUSTINE'S AMERICAN CATHOLIC CHURCH , 298 SCHENECTADY AVENUE , Brooklyn, 11213, NY",40.6682671,-73.9341747
"ST. AUGUSTINE'S CHURCH , 47 STERLING PLACE , Brooklyn, 11217, NY",40.67848559999999,-73.97684459999999
"ST. GEORGE'S EPISCOPAL CHURCH , 800 MARCY AVENUE , Brooklyn, 11216, NY",40.6863207,-73.9477344
"ST. GEORGE'S EPISCOPAL CHURCH FOOD PANTRY , 800 MARCY AVENUE , Brooklyn, 11216, NY",40.6863207,-73.9477344
"ST. JOHN'S BREAD & LIFE FOOD PANTRY , 795 LEXINGTON AVE , Brooklyn, 11221, NY",40.6903525,-73.9289014
"ST. JOHN'S BREAD & LIFE PROGRAM , 795 LEXINGTON AVE , Brooklyn, 11221, NY",40.6903525,-73.9289014
"ST. MARK'S UNITED METHODIST CHURCH , 2017 BEVERLEY ROAD , Brooklyn, 11226, NY",40.645169,-73.9597728
"ST. MATTHEW'S ROMAN CATHOLIC CHURCH , 1342 LINCOLN PLACE , Brooklyn, 11213, NY",40.6696548,-73.9321488
"ST. PAUL PENTECOSTAL CHURCH , 133 THOMAS S BOYLAND STREET , Brooklyn, 11233, NY",40.680361,-73.913648
"ST. PHILIP'S EPISCOPAL/ST. BENEDICT'S PANTRY , 265 DECATUR STREET , Brooklyn, 11233, NY",40.6816349,-73.9332526
"ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION, 874 MYRTLE AVENUE , Brooklyn, 11206, NY",40.69543729999999,-73.94710309999999
"ST. TERESA OF AVILA , 560 STERLING PLACE , Brooklyn, 11238, NY",40.6737299,-73.96018269999999
"ST. THERESE OF LISIEUX R.C. CHURCH , 4410 AVENUE D , Brooklyn, 11203, NY",40.64146,-73.93436059999999
"THE CAMPAIGN AGAINST HUNGER , 2004 FULTON STREET , Brooklyn, 11233, NY",40.6785159,-73.9181299
"THE CHURCH OF ST. MARK , 1417 UNION STREET , Brooklyn, 11213, NY",40.66879429999999,-73.94452199999999
"THE CITY OF GRACE INC , 11 WOODS PLACE , Brooklyn, 11226, NY",40.650141,-73.9545717
"THE SALVATION ARMY BEDFORD TEMPLE CORPS , 601 LAFAYETTE AVENUE , Brooklyn, 11216, NY",40.6901809,-73.9504529
"THE SALVATION ARMY BUSHWICK CORPS , 1151 BUSHWICK AVENUE , Brooklyn, 11221, NY",40.6892251,-73.91726589999999
"THE SALVATION ARMY SUNSET PARK CORPS , 520 50TH STREET , Brooklyn, 11220, NY",40.6446159,-74.0099371
"THE TABLE AT THE FAMILY SUPPORT CENTER AT NYU LANGONE , 6025 6TH AVENUE , Brooklyn, 11220, NY",40.6375482,-74.0141754
"THE TEMPLE OF RESTORATION TTOR FOOD PANTRY , 490 PACIFIC STREET , Brooklyn, 11217, NY",40.6846018,-73.9814883
"THURSTON MEMORIAL OUTREACH MINISTRIES , 1243 BUSHWICK AVE , Brooklyn, 11221, NY",40.6878671,-73.9146366
" TOMCHE SHABBOS OF BORO PARK , 6225 NEW UTRECHT AVE , Brooklyn, 11219, NY",40.6252845,-73.9969181
"TRANSFIGURATION CHURCH , 263 & 280 MARCY AVENUE , Brooklyn, 11211, NY",40.7053255,-73.95576659999999
"TREASURES IN EARTHEN JARS FOOD PANTRY , 4124 AVENUE H , Brooklyn, 11210, NY",40.6176574,-73.94129439999999
"TRINITY HUMAN SERVICE CORPORATION , 153 A JOHNSON AVENUE , Brooklyn, 11206, NY",40.7065875,-73.9443185
"TRIUMPHANT FULL GOSPEL ASSEMBLY , 889 RUTLAND ROAD , Brooklyn, 11203, NY",40.6608186,-73.92990309999999
"TRUE HOLY CHURCH OF GOD IN CHRIST JESUS , 2364 ATLANTIC AVENUE , Brooklyn, 11233, NY",40.6759251,-73.9067549
"UNITED COMMUNITY BAPTIST CHURCH , 545 UTICA AVE , Brooklyn, 11203, NY",40.6601914,-73.930945
"URBAN STRATEGIES INC , 61-71 RIVERDALE AVENUE , Brooklyn, 11212, NY",40.660298,-73.914457
"WIADCA CARES , 1561 BEDFORD AVENUE , Brooklyn, 11225, NY",40.6688638,-73.9555407
"WORLD FOR CHRIST FOOD SERVICES , 1091 CLARKSON AVENUE , Brooklyn, 11212, NY",40.66004119999999,-73.9221699
"YMCA COMMUNITY MARKET-CONEY ISLAND YMCA , 2980 WEST 29TH STREET , Brooklyn, 11224, NY",40.57333999999999,-73.99528099999999
"YMCA COMMUNITY MARKET-NORTH BROOKLYN YMCA , 570 JAMAICA AVENUE , Brooklyn, 11208, NY",40.684906,-73.8828406
"ABRAHAM HOUSE, INC , 340 WILLIS AVENUE , Bronx, 10454, NY",40.8113404,-73.9209643
"ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY , 3101 EASTCHESTER ROAD , Bronx, 10469, NY",40.8713081,-73.8440694
"ASH-SHIFAA INC FP , 2269 CROTONA AVENUE , Bronx, 10457, NY",40.8516367,-73.8850547
"BETH-EL HOUSE OF YAHWEH , 3482 PARK AVENUE , Bronx, 10456, NY",40.8308577,-73.908104
"BLACK FORUM OF CO-OP CITY , 920 BAYCHESTER AVE (REAR LOBBY LEVEL) , Bronx, 10475, NY",40.8772457,-73.8331755
"ABOOM! HEALTH , 3144 3RD AVENUE , Bronx, 10451, NY",40.8221038,-73.9104924
"BREAD OF LIFE FOOD PANTRY , 1104 ELDER AVENUE #15 , Bronx, 10472, NY",40.8263314,-73.8785276
"BRONX BETHANY COMMUNITY CORPORATION , 971 EAST 227TH STREET , Bronx, 10466, NY",40.8865215,-73.8517655
"BRONX SEVENTH DAY ADVENTIST CHURCH , 1695 WASHINGTON AVENUE , Bronx, 10457, NY",40.8422403,-73.90109989999999
"BRONX TEMPLE SDA CHURCH , 495 WILLIS AVENUE , Bronx, 10455, NY",40.8149923,-73.9187996
"BRONX WORKS , 1130 GRAND CONCOURSE , Bronx, 10456, NY",40.8326862,-73.9187597
"CCCS BRONX FOOD PANTRY , 402 EAST 152ND STREET , Bronx, 10455, NY",40.8179358,-73.91653219999999
"CHRIST DISCIPLES INTERNATIONAL MINISTRIES , 3021-31 WEBSTER AVENUE , Bronx, 10467, NY",40.86977479999999,-73.8796365
"CHURCH OF ST. NICHOLAS OF TOLENTINE , 2345 UNIVERSITY AVE (BASEMENT FORDHAM RD BXENT.) , Bronx, 10468, NY",40.8622759,-73.9056926
"CHURCH OF THE ATONEMENT FOOD PANTRY , 1344 BEACH AVENUE , Bronx, 10472, NY",40.8333764,-73.8662794
" CITY HARVEST - MELROSE MOBILE MARKET , 286 EAST 156TH STREET , Bronx, 10451, NY",40.8217327,-73.9203212
" CITY HARVEST - ST. MARY'S MOBILE MARKET , 595 TRINITY AVENUE , Bronx, 10455, NY",40.8151385,-73.9097575
"COOP CITY SDA CHURCH FOOD PANTRY , 1010 BAYCHESTER AVENUE , Bronx, 10475, NY",40.8802917,-73.83101669999999
"CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC , 114 EAST 188TH STREET , Bronx, 10468, NY",40.8617609,-73.8991349
"CRESTON AVENUE BAPTIST CHURCH, INC , 114 EAST 188TH STREET , Bronx, 10468, NY",40.8617609,-73.8991349
"DAVIDSON COMMUNITY CENTER INC , 2038 DAVIDSON AVENUE , Bronx, 10453, NY",40.8535877,-73.908579
"EASTCHESTER PRESBYTERIAN CHURCH , 3154 FISH AVENUE , Bronx, 10469, NY",40.8713085,-73.847273
"EDM HARVEST HAND FOOD PANTRY , 2626 EAST TREMONT AVENUE , Bronx, 10461, NY",40.8427139,-73.84647799999999
"EMANUEL PENTECOSTAL FAITH CHURCH , 1310 ELDER AVE , Bronx, 10472, NY",40.831618,-73.87957
"EVERY DAY IS A MIRACLE, INC , 2430 WALTON AVENUE , Bronx, 10468, NY",40.8615053,-73.9005875
"FELLOWSHIP COVENANT CHURCH , 720 CASTLE HILL AVENUE , Bronx, 10473, NY",40.8216652,-73.8482539
"GETHSEMANE BAPTIST CHURCH , 771 FAIRMOUNT PLACE , Bronx, 10460, NY",40.8430848,-73.88947350000001
"GIVE BY GRACE WHAT BY GRACE YOU HAVE RECEIVED INC , 936 EAST 165TH STREET , Bronx, 10459, NY",40.82379479999999,-73.8959836
"GIVE THEM TO EAT , 800 EAST 156TH STREET , Bronx, 10455, NY",40.8175255,-73.9043377
"GOD BLESS YOU ALL INC , 1926 CROTONA PARKWAY , Bronx, 10460, NY",40.8413571,-73.88533600000001
"GOOD NEIGHBOR COMMUNITY OUTREACH AGENCY INC , 3356 SEYMOUR AVENUE , Bronx, 10469, NY",40.87578,-73.8485455
"GRACE EPISCOPAL CHURCH , 1909 VYSE AVENUE , Bronx, 10460, NY",40.8405035,-73.88353130000002
"GRACE EPISCOPAL CHURCH , 1909 VYSE AVE , Bronx, 10460, NY",40.8405035,-73.88353130000002
"GRAND CONCOURSE SDA CHURCH , 1275 GRAND CONCOURSE , Bronx, 10452, NY",40.8364463,-73.916506
"HEAVENLY VISION CHRISTIAN CENTER , 2868 JEROME AVE , Bronx, 10468, NY",40.8715422,-73.89215430000002
"HOLY TABERNACLE CHURCH INC. , 3780 THIRD AVENUE , Bronx, 10456, NY",40.8367377,-73.9021065
"INSPIRATIONAL GOSPEL ASSEMBLY , 1211 BROOK AVENUE , Bronx, 10456, NY",40.8313843,-73.9093929
"JAMAICA BENEVOLENT ARM & CULTURAL CENTER , 2230 LIGHT STREET , Bronx, 10466, NY",40.8876692,-73.8307295
" JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY , 2157 HOLLAND AVE , Bronx, 10462, NY",40.8548299,-73.86587899999999
"LOS REDIMIDOS EN LA SANGRE DE CRISTO , 609 EAST 182ND STREET , Bronx, 10457, NY",40.852108,-73.88949
"LOYAL BAPTIST CHURCH , 881 EAST 167TH STREET , Bronx, 10459, NY",40.8262146,-73.8962305
